Ativo;Cidade;Estado;Data;%;ABL Transação;ABL Total;Valor Transação (R$);R$/m²;Cap rate;Comprador;Vendedor;Estrutura;Detalhes;Fato Relevante / Fonte;
BTLG Guarulhos;Guarulhos;SP;fev/21;100%;20.247;20.247;195.000.000;2.224;8,00%;BTLG11;-;Sellers Finance;R$ 145 mi á vista | R5 50 mi em 12 meses;https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=145996&cvm=true;
BTLG Embu;Embu das Artes;SP;;100%;30.592;30.592;;;;;;;;;
BTLG Hortolândia;Hortolândia;SP;;100%;36.024;36.024;;;;;;;;;
Rhea Log;São José dos Pinhais;PR;mar/21;34%;22.120;7.567;25.999.600;3.436;10,50%;GGRC11;-;Cash;À vista;Fundos.NET;
BMLog São Bernardo do Campo;São Bernardo do Campo;SP;abr/21;100%;27.000;27.000;108.000.000;4.000;-;BLMG11;-;Cash;À vista;Fundos.NET;
Suzano Papel;Salvador;BA;abr/21;100%;28.657;28.657;54.019.619;1.885;9,48%;GGRC11;-;Cash;À vista;Fundos.NET;
Volkswagen Man;Resende;RJ;abr/21;100%;23.867;23.867;82.963.410;3.476;-;-;RBRL11;Sellers Finance;20% à vista | 50% em 4 meses | 30% em 9 meses;Fundos.NET;
WTLOG RBR I ;Franco da Rocha;SP;abr/21;50%;121.769;60.885;164.696.592;2.705;8,30%;RBRL11;-;Sellers Finance;Pagamento conforme o andamento da obra;Fundos.NET;
Centro Logístico Contagem;Contagem;MG;abr/21;100%;57.000;57.000;350.000.000;6.140;8,00%;TRBL11;-;Sellers Finance;43% à vista | 17%  em 6 meses | 37% em 12 meses;Fundos.NET;
Canoa Log;Serra;ES;abr/21;100%;93.690;93.690;286.908.314;3.062;8,00%;VILG11;-;Cash;À vista;Fundos.NET;
BMLog LEAP Dafiti;Extrema;MG;mai/21;100%;54.000;54.000;272.700.000;5.050;-;BLMG11;-;Cash;70% à vista | 30% no final das obras;Fundos.NET;
BTLG Ribeirão Preto;Ribeirão Preto;SP;mai/21;100%;57.143;57.143;169.200.000;2.961;8,30%;BTLG11;-;CRI + Cash;Caixa + CRI;Fundos.NET;
Golgi Seropédica;Seropédica;RJ;mai/21;100%;82.049;82.049;186.200.000;2.269;-;XPLG11;Golgi FII;Cash;À vista;Fundos.NET;
Extrema I;Extrema;MG;mai/21;64%;77.351;49.659;169.817.174;3.420;-;XPLG11;-;Sellers Finance;27% à vista | 73% após cumprimento de certas condições;Fundos.NET;
Itambé São Paulo;São Paulo;SP;mai./21;100%;8.058;8.058;168.881.602;3.260;7,70%;-;BTLG11;Sellers Finance;Venda paga em 3 parcelas;https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=170596&cvm=true;
Supermarket RJ;Rio de Janeiro;RJ;;;17.244;17.244;;;;-;;;;;
Magna Vinhedo;Vinhedo;SP;;;10.440;10.440;;;;-;;;;;
Ceratti Vinhedo;Vinhedo;SP;;;13.852;13.852;;;;-;;;;;
Jandira I e  II;Jandira;SP;jun/21;100%;36.000;36.000;162.000.000;4.500;-;BLMG11;-;Cash;CRI + Cotas;Fundos.NET;
Aratulog;Simões Filho;BA;jun/21;70%;100.552;70.386;196.561.284;2.793;8,80%;LVBI11;-;Sellers Finance;37% à vista | 7% em 30 dias | 48% conforme a evolução da obra | 8% na conclusão;Fundos.NET;
Log Ribeirão;Ribeirão Preto;SP;jul/21;100%;59.875;59.875;168.073.362;2.807;-;HGLG11;-;Cash;À vista;Fundos.NET;
Carrefour Washington Luiz;Rio de Janeiro;RJ;jul/21;100%;48.042;48.042;109.267.521;2.274;-;HGLG11;-;Cash;À vista;Fundos.NET;
