Ativo;Cidade;Estado;Data;%;ABL Transação;ABL Total;Valor Transação (R$);R$/m²;Cap rate;Comprador;Vendedor;Estrutura;Detalhes;Fato Relevante / Fonte;
Galpão SBC (Ford);São Bernardo do Campo;SP;jan/24;100%;-;-;850.000.000;-;-;Prologis;SJAU11 | BTLG11;-;-;Prologis paga R$ 850 milhões por ‘trophy asset’ logístico no ABC - Brazil Journal;
BTS Cabreúva;Cabreúva;SP;fev/24;100%;9.300;9.300;41.500.000;4.462;-;GGRC11;-;Sellers Finance;58% em 8 parcelas mensais | 42% com a emissão do Habite-se;Fundos.NET;
BRF Salvador;Salvador;BA;fev/24;100%;35.960;35.960;280.000.000;7.786;-;-;GARE11;Sellers Finance;47% à vista | 10% após 6 meses | 43% após 18 meses (Fevereiro/2026);Fundos.NET;
Terreno HGLG SJC;São José dos Campos;SP;fev/24;100%;169.206;169.206;12.500.000;74;-;-;HGLG11;-;-;Fundos.NET;
Portfólio Artemis FII;-;-;mar/24;100%;136.749;136.749;873.000.000;6.384;-;GARE11;Artemis FII;-;-;Fundos.NET;
NewLOG Goiânia II;Goiânia;GO;abr/24;100%;37.542;37.542;100.000.000;2.664;-;NEWL11;Novo Mundo S.A.;-;Pagamento à vista no fechamento;Fundos.NET;
Ativos GLP;-;-;abr/24;100%;500.000;500.000;1.750.000.000;3.500;-;BTLG11;GLP;Sellers Finance;65% à vista | 35% após 18 meses, corrigidos por IPCA;Fundos.NET;
LOG Betim e LOG Salvador;Betim | Salvador;MG | BA;abr/24;100%;138.170;138.170;509.735.577;3.689;-;BTLC11;LGCP11;Sellers Finance;57% à vista | 43% após 24 meses com correção por IPCA (Abril/2026);Fundos.NET;
Bresco Osasco;Osasco;SP;mai/24;100%;29.600;29.600;149.032.736;5.035;8,50%;BRCO11;-;Sellers Finance;50% à vista | 50% após 12 meses com correção por IPCA (Maio/2025);Fundos.NET;
Bresco Natura Murici;Murici;AL;mai/24;100%;50.300;50.300;122.158.536;2.429;9,10%;BRCO11;-;Sellers Finance;50% à vista | 50% após 12 meses com correção por IPCA (Maio/2025);Fundos.NET;
Syslog Galeão;Duque de Caxias;RJ;mai/24;49%;27.376;55.870;88.274.056;3.224;-;HGLG11;XPLG11;Sellers Finance;50% à vista | 25% após 12 meses | 25% após 6 meses (Novembro/2025);Fundos.NET;
HGLG WL;Duque de Caxias;RJ;mai/24;49%;23.072;47.086;79.717.448;3.455;-;XPLG11;HGLG11;Sellers Finance;50% à vista | 25% após 12 meses | 25% após 6 meses (Novembro/2025);Fundos.NET;
BM Log Rio;Rio de Janeiro;RJ;jun/24;36%;51.855;145.578;;;;GGRC11;Triple A FII;Cotas;;Fundos.NET;
BM Log Extrema;Extrema;MG;jun/24;36%;27.384;76.878;253.557.572;3.356;11,25%;GGRC11;Triple A FII;;GGRC pagou pelos ativos com cotas da 7° Emissão (subcritas pelo Triple A FII);;
BM Log SBC;São Bernardo do Campo;SP;jun/24;36%;9.596;26.940;;;;GGRC11;Triple A FII;;;;
GLP Gravataí;Gravataí;RS;jun/24;100%;105.271;105.271;309.850.090;2.943;-;XPLG11;GLP;Sellers Finance;59% à vista | 39% após 12 meses | Restante na superação das condições precedentes;Fundos.NET;
BM Log Jandira;Jandira;SP;jun/24;100%;17.127;17.127;38.500.000;2.248;-;-;BLMG11;-;À vista no fechamento;Fundos.NET;
Urban Hub Osasco e Mauá;Osasco | Mauá;SP;jul/24;100%;83.027;83.027;352.600.000;4.247;-;CPLG11;-;-;-;Fundos.NET;
Meli Simões Filho;Simões Filho;BA;ago/24;100%;126.336;126.336;-;-;-;HGLG11;-;-;-;Fundos.NET;
Galpão SBC  ;São Bernardo do Campo;SP;ago/24;100%;27.940;27.940;130.000.000;4.653;7,00%;-;Triple A FII;-;À vista no fechamento;Fundos.NET;
Desenvolvimento Rodoanel;São Paulo;SP;ago/24;57%;42.349;74.296;-;-;-;CPLG11;-;-;-;Fundos.NET;
Imóveis SP e BA;-;SP | BA;ago/24;100%;-;-;57.000.000;-;7,44%;GGRC11;-;Sellers Finance + Cotas;47% via cotas do GGRC | 26% em Junho/2025 | 26% em Dezembro/2025;Fundos.NET;
Galpão WT RBR;Cajamar  ;SP;ago/24;23%;27.530;122.356;91.285.858;3.316;-;-;RBRL11;Sellers Finance;50% à vista | 25% após 6 meses | 25% após 6 meses (Julho/2025);Fundos.NET;
